regionName,region,regionLongName,LR,Lobe,LR_lobe_regionName,IC,performance,volmm3,scan1,scan2,scan3,scan4,ScanCount
Acb_L,Acb,Accumbens_L,L,Subcort,L_Subcort_Acb,2,high,712,0.001936,0.000448,,0.000462,3
Acb_L,Acb,Accumbens_L,L,Subcort,L_Subcort_Acb,2,low,712,0.000377,0.00099,,0.001047,3
Acb_L,Acb,Accumbens_L,L,Subcort,L_Subcort_Acb,4,high,712,0.000599,0.000627,,0.000123,3
Acb_L,Acb,Accumbens_L,L,Subcort,L_Subcort_Acb,4,low,712,0.000603,0.000564,,0.000678,3
Acb_R,Acb,Accumbens_R,R,Subcort,R_Subcort_Acb,1,high,672,,0.000281,,,1
Acb_R,Acb,Accumbens_R,R,Subcort,R_Subcort_Acb,1,low,672,,0.00092,,,1
Acb_R,Acb,Accumbens_R,R,Subcort,R_Subcort_Acb,2,high,672,,,,0.000278,1
Acb_R,Acb,Accumbens_R,R,Subcort,R_Subcort_Acb,2,low,672,,,,0.001014,1
Amg_R,Amg,Amygdala_R,R,Subcort,R_Subcort_Amg,3,high,2928,,0.000337,0.000446,0.000295,3
Amg_R,Amg,Amygdala_R,R,Subcort,R_Subcort_Amg,3,low,2928,,0.001171,0.000832,0.000421,3
AnG_L,AnG,Angular_Gyrus_L,L,Par,L_Par_AnG,2,high,7584,0.003782,0.00087,0.001635,0.001048,4
AnG_L,AnG,Angular_Gyrus_L,L,Par,L_Par_AnG,2,low,7584,0.001474,0.003494,0.002469,0.003105,4
AnG_R,AnG,Angular_Gyrus_R,R,Par,R_Par_AnG,3,high,11688,0.003635,0.000922,0.001641,0.001605,4
AnG_R,AnG,Angular_Gyrus_R,R,Par,R_Par_AnG,3,low,11688,0.000988,0.002295,0.003996,0.001553,4
BA44_L,BA44,Inferior_Frontal_Gyrus_pars_opercularis_L,L,Fr,L_Fr_BA44,2,high,5832,0.00395,0.000793,0.001562,0.000958,4
BA44_L,BA44,Inferior_Frontal_Gyrus_pars_opercularis_L,L,Fr,L_Fr_BA44,2,low,5832,0.001474,0.004443,0.002485,0.004092,4
BA44_L,BA44,Inferior_Frontal_Gyrus_pars_opercularis_L,L,Fr,L_Fr_BA44,4,high,5832,,,,0.000134,1
BA44_L,BA44,Inferior_Frontal_Gyrus_pars_opercularis_L,L,Fr,L_Fr_BA44,4,low,5832,,,,0.00067,1
BA44_R,BA44,Inferior_Frontal_Gyrus_pars_opercularis_R,R,Fr,R_Fr_BA44,3,high,5240,0.004753,0.001066,0.002135,0.001242,4
BA44_R,BA44,Inferior_Frontal_Gyrus_pars_opercularis_R,R,Fr,R_Fr_BA44,3,low,5240,0.001848,0.003411,0.004649,0.002312,4
BA44_R,BA44,Inferior_Frontal_Gyrus_pars_opercularis_R,R,Fr,R_Fr_BA44,4,high,5240,,0.000397,,,1
BA44_R,BA44,Inferior_Frontal_Gyrus_pars_opercularis_R,R,Fr,R_Fr_BA44,4,low,5240,,0.000319,,,1
BA45_L,BA45,Inferior_Frontal_Gyrus_pars_triangularis_L,L,Fr,L_Fr_BA45,2,high,4856,0.003144,0.000878,0.001559,0.001139,4
BA45_L,BA45,Inferior_Frontal_Gyrus_pars_triangularis_L,L,Fr,L_Fr_BA45,2,low,4856,0.001569,0.004004,0.002281,0.002979,4
BA45_R,BA45,Inferior_Frontal_Gyrus_pars_triangularis_R,R,Fr,R_Fr_BA45,2,high,3968,,,0.000484,,1
BA45_R,BA45,Inferior_Frontal_Gyrus_pars_triangularis_R,R,Fr,R_Fr_BA45,2,low,3968,,,0.000317,,1
BA45_R,BA45,Inferior_Frontal_Gyrus_pars_triangularis_R,R,Fr,R_Fr_BA45,3,high,3968,0.003768,0.001082,,0.000999,3
BA45_R,BA45,Inferior_Frontal_Gyrus_pars_triangularis_R,R,Fr,R_Fr_BA45,3,low,3968,0.001266,0.002266,,0.00155,3
CALC_L,CALC,Intracalcarine_Cortex_L,L,Occ,L_Occ_CALC,1,high,5048,,,,0.000159,1
CALC_L,CALC,Intracalcarine_Cortex_L,L,Occ,L_Occ_CALC,1,low,5048,,,,0.000806,1
CALC_R,CALC,Intracalcarine_Cortex_R,R,Occ,R_Occ_CALC,3,high,5976,,,,0.000417,1
CALC_R,CALC,Intracalcarine_Cortex_R,R,Occ,R_Occ_CALC,3,low,5976,,,,0.00037,1
Cd_L,Cd,Caudate_L,L,Subcort,L_Subcort_Cd,4,high,3896,,0.000283,,0.00012,2
Cd_L,Cd,Caudate_L,L,Subcort,L_Subcort_Cd,4,low,3896,,0.000247,,0.00078,2
Cd_R,Cd,Caudate_R,R,Subcort,R_Subcort_Cd,4,high,4088,,0.000308,,0.00015,2
Cd_R,Cd,Caudate_R,R,Subcort,R_Subcort_Cd,4,low,4088,,0.000228,,0.00066,2
CgG_ant_L,CgG_ant,Cingulate_Gyrus_anterior_L,L,Fr,L_Fr_CgG_ant,4,high,7992,0.001372,0.000763,0.000675,0.000369,4
CgG_ant_L,CgG_ant,Cingulate_Gyrus_anterior_L,L,Fr,L_Fr_CgG_ant,4,low,7992,0.000524,0.001145,0.002199,0.001087,4
CgG_ant_R,CgG_ant,Cingulate_Gyrus_anterior_R,R,Fr,R_Fr_CgG_ant,4,high,10136,0.001503,0.000885,0.000874,0.000361,4
CgG_ant_R,CgG_ant,Cingulate_Gyrus_anterior_R,R,Fr,R_Fr_CgG_ant,4,low,10136,0.000755,0.00126,0.00275,0.001365,4
CgG_post_R,CgG_post,Cingulate_Gyrus_posterior_R,R,Par,R_Par_CgG_post,3,high,9288,,0.000283,,0.000511,2
CgG_post_R,CgG_post,Cingulate_Gyrus_posterior_R,R,Par,R_Par_CgG_post,3,low,9288,,0.000889,,0.000536,2
Crus_I_L,Crus_I,Crus_I_L,L,Cb,L_Cb_Crus_I,3,high,20888,,0.000379,,0.000583,2
Crus_I_L,Crus_I,Crus_I_L,L,Cb,L_Cb_Crus_I,3,low,20888,,0.000963,,0.000785,2
Crus_II_L,Crus_II,Crus_II_L,L,Cb,L_Cb_Crus_II,3,high,16080,0.002006,0.000652,0.001258,0.001171,4
Crus_II_L,Crus_II,Crus_II_L,L,Cb,L_Cb_Crus_II,3,low,16080,0.000969,0.001071,0.001894,0.000904,4
Crus_II_R,Crus_II,Crus_II_R,R,Cb,R_Cb_Crus_II,1,high,15280,,,,0.000165,1
Crus_II_R,Crus_II,Crus_II_R,R,Cb,R_Cb_Crus_II,1,low,15280,,,,0.000377,1
Crus_II_R,Crus_II,Crus_II_R,R,Cb,R_Cb_Crus_II,2,high,15280,,0.000568,0.00068,0.00042,3
Crus_II_R,Crus_II,Crus_II_R,R,Cb,R_Cb_Crus_II,2,low,15280,,0.002143,0.000905,0.001141,3
Cun_L,Cun,Cuneal_Cortex_L,L,Occ,L_Occ_Cun,4,high,4016,,0.000438,,0.000225,2
Cun_L,Cun,Cuneal_Cortex_L,L,Occ,L_Occ_Cun,4,low,4016,,0.001215,,0.000786,2
Cun_R,Cun,Cuneal_Cortex_R,R,Occ,R_Occ_Cun,3,high,5192,0.001066,,0.000808,0.001038,3
Cun_R,Cun,Cuneal_Cortex_R,R,Occ,R_Occ_Cun,3,low,5192,0.000684,,0.000899,0.000506,3
Cun_R,Cun,Cuneal_Cortex_R,R,Occ,R_Occ_Cun,4,high,5192,,0.000329,,,1
Cun_R,Cun,Cuneal_Cortex_R,R,Occ,R_Occ_Cun,4,low,5192,,0.0008,,,1
FL_Op_L,FL_Op,Frontal_Operculum_Cortex_L,L,Fr,L_Fr_FL_Op,2,high,2896,,,,0.000474,1
FL_Op_L,FL_Op,Frontal_Operculum_Cortex_L,L,Fr,L_Fr_FL_Op,2,low,2896,,,,0.001445,1
FL_Op_L,FL_Op,Frontal_Operculum_Cortex_L,L,Fr,L_Fr_FL_Op,4,high,2896,,,,0.000172,1
FL_Op_L,FL_Op,Frontal_Operculum_Cortex_L,L,Fr,L_Fr_FL_Op,4,low,2896,,,,0.001285,1
FL_Op_R,FL_Op,Frontal_Operculum_Cortex_R,R,Fr,R_Fr_FL_Op,3,high,2600,,0.000466,,,1
FL_Op_R,FL_Op,Frontal_Operculum_Cortex_R,R,Fr,R_Fr_FL_Op,3,low,2600,,0.000679,,,1
FL_Op_R,FL_Op,Frontal_Operculum_Cortex_R,R,Fr,R_Fr_FL_Op,4,high,2600,,0.000361,0.000448,0.000219,3
FL_Op_R,FL_Op,Frontal_Operculum_Cortex_R,R,Fr,R_Fr_FL_Op,4,low,2600,,0.00042,0.000815,0.000898,3
FRP_L,FRP,Frontal_Pole_L,L,Fr,L_Fr_FRP,2,high,56488,,0.000408,,0.000468,2
FRP_L,FRP,Frontal_Pole_L,L,Fr,L_Fr_FRP,2,low,56488,,0.002001,,0.001995,2
FRP_R,FRP,Frontal_Pole_R,R,Fr,R_Fr_FRP,3,high,65568,,0.000473,,0.000844,2
FRP_R,FRP,Frontal_Pole_R,R,Fr,R_Fr_FRP,3,low,65568,,0.001483,,0.001001,2
GP_L,GP,Pallidum_L,L,Subcort,L_Subcort_GP,2,high,2136,,,,0.000211,1
GP_L,GP,Pallidum_L,L,Subcort,L_Subcort_GP,2,low,2136,,,,0.000413,1
GP_L,GP,Pallidum_L,L,Subcort,L_Subcort_GP,4,high,2136,,,,0.000107,1
GP_L,GP,Pallidum_L,L,Subcort,L_Subcort_GP,4,low,2136,,,,0.000236,1
GP_R,GP,Pallidum_R,R,Subcort,R_Subcort_GP,1,high,2080,,,,0.000166,1
GP_R,GP,Pallidum_R,R,Subcort,R_Subcort_GP,1,low,2080,,,,0.000275,1
GP_R,GP,Pallidum_R,R,Subcort,R_Subcort_GP,3,high,2080,,,,0.000291,1
GP_R,GP,Pallidum_R,R,Subcort,R_Subcort_GP,3,low,2080,,,,0.00029,1
GP_R,GP,Pallidum_R,R,Subcort,R_Subcort_GP,4,high,2080,,,,0.000155,1
GP_R,GP,Pallidum_R,R,Subcort,R_Subcort_GP,4,low,2080,,,,0.000319,1
HG_L,HG,Heschl's_Gyrus_(includes_H1_and_H2)_L,L,Temp,L_Temp_HG,1,high,2560,0.003013,0.001019,0.002044,0.000433,4
HG_L,HG,Heschl's_Gyrus_(includes_H1_and_H2)_L,L,Temp,L_Temp_HG,1,low,2560,0.00123,0.005665,0.003335,0.00348,4
HG_R,HG,Heschl's_Gyrus_(includes_H1_and_H2)_R,R,Temp,R_Temp_HG,1,high,2272,,0.000835,0.001193,,2
HG_R,HG,Heschl's_Gyrus_(includes_H1_and_H2)_R,R,Temp,R_Temp_HG,1,low,2272,,0.003062,0.002374,,2
Hi_R,Hi,Hippocampus_R,R,Subcort,R_Subcort_Hi,3,high,5600,,0.000356,,0.000306,2
Hi_R,Hi,Hippocampus_R,R,Subcort,R_Subcort_Hi,3,low,5600,,0.000543,,0.000583,2
Ins_R,Ins,Insular_Cortex_R,R,Ins,R_Ins_Ins,4,high,9448,,,,0.000159,1
Ins_R,Ins,Insular_Cortex_R,R,Ins,R_Ins_Ins,4,low,9448,,,,0.000608,1
ITG_post_L,ITG_post,Inferior_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_ITG_post,2,high,7960,,0.000388,0.000275,0.000413,3
ITG_post_L,ITG_post,Inferior_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_ITG_post,2,low,7960,,0.000825,0.000243,0.000815,3
ITG_post_L,ITG_post,Inferior_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_ITG_post,4,high,7960,,0.000193,,0.000203,2
ITG_post_L,ITG_post,Inferior_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_ITG_post,4,low,7960,,0.0003,,0.000368,2
ITG_post_R,ITG_post,Inferior_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_ITG_post,1,high,7576,,,0.000582,,1
ITG_post_R,ITG_post,Inferior_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_ITG_post,1,low,7576,,,0.001061,,1
ITG_post_R,ITG_post,Inferior_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_ITG_post,3,high,7576,0.001616,0.000476,0.000473,0.001412,4
ITG_post_R,ITG_post,Inferior_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_ITG_post,3,low,7576,0.001091,0.000495,0.002199,0.000351,4
ITG_post_R,ITG_post,Inferior_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_ITG_post,4,high,7576,,0.000356,,,1
ITG_post_R,ITG_post,Inferior_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_ITG_post,4,low,7576,,0.000464,,,1
ITG_tempocc_L,ITG_tempocc,Inferior_Temporal_Gyrus_temporooccipital_L,L,Temp,L_Temp_ITG_tempocc,2,high,5568,,0.000681,,0.000712,2
ITG_tempocc_L,ITG_tempocc,Inferior_Temporal_Gyrus_temporooccipital_L,L,Temp,L_Temp_ITG_tempocc,2,low,5568,,0.001356,,0.0017,2
ITG_tempocc_R,ITG_tempocc,Inferior_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_ITG_tempocc,3,high,6192,,0.000359,,0.000671,2
ITG_tempocc_R,ITG_tempocc,Inferior_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_ITG_tempocc,3,low,6192,,0.000628,,0.000495,2
Lat_OL_sup_L,Lat_OL_sup,Lateral_Occipital_Cortex_superior_L,L,Occ,L_Occ_Lat_OL_sup,2,high,39640,,0.000742,0.001193,0.00083,3
Lat_OL_sup_L,Lat_OL_sup,Lateral_Occipital_Cortex_superior_L,L,Occ,L_Occ_Lat_OL_sup,2,low,39640,,0.002729,0.002236,0.002294,3
Lat_OL_sup_R,Lat_OL_sup,Lateral_Occipital_Cortex_superior_R,R,Occ,R_Occ_Lat_OL_sup,3,high,38592,0.003246,0.000783,0.001663,0.001595,4
Lat_OL_sup_R,Lat_OL_sup,Lateral_Occipital_Cortex_superior_R,R,Occ,R_Occ_Lat_OL_sup,3,low,38592,0.001,0.002304,0.003326,0.001729,4
MFG_L,MFG,Middle_Frontal_Gyrus_L,L,Fr,L_Fr_MFG,2,high,22040,0.003041,0.000702,0.001508,0.000746,4
MFG_L,MFG,Middle_Frontal_Gyrus_L,L,Fr,L_Fr_MFG,2,low,22040,0.001256,0.003655,0.002772,0.00354,4
MFG_R,MFG,Middle_Frontal_Gyrus_R,R,Fr,R_Fr_MFG,3,high,20488,0.003641,0.000938,0.00151,0.00136,4
MFG_R,MFG,Middle_Frontal_Gyrus_R,R,Fr,R_Fr_MFG,3,low,20488,0.001193,0.002722,0.004223,0.001558,4
MTG_ant_L,MTG_ant,Middle_Temporal_Gyrus_anterior_L,L,Temp,L_Temp_MTG_ant,2,high,3568,,,0.000531,,1
MTG_ant_L,MTG_ant,Middle_Temporal_Gyrus_anterior_L,L,Temp,L_Temp_MTG_ant,2,low,3568,,,0.000576,,1
MTG_post_L,MTG_post,Middle_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_MTG_post,1,high,10160,0.002046,0.001064,0.002249,0.000398,4
MTG_post_L,MTG_post,Middle_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_MTG_post,1,low,10160,0.001412,0.003555,0.001766,0.002287,4
MTG_post_L,MTG_post,Middle_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_MTG_post,2,high,10160,0.0018,0.000651,0.001008,,3
MTG_post_L,MTG_post,Middle_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_MTG_post,2,low,10160,0.002138,0.001466,0.001771,,3
MTG_post_L,MTG_post,Middle_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_MTG_post,4,high,10160,,0.000505,0.000439,0.000201,3
MTG_post_L,MTG_post,Middle_Temporal_Gyrus_posterior_L,L,Temp,L_Temp_MTG_post,4,low,10160,,0.00064,0.000826,0.000555,3
MTG_post_R,MTG_post,Middle_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_MTG_post,1,high,10040,0.00413,0.001211,0.002253,0.000548,4
MTG_post_R,MTG_post,Middle_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_MTG_post,1,low,10040,0.001436,0.005847,0.004322,0.003352,4
MTG_post_R,MTG_post,Middle_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_MTG_post,3,high,10040,0.002164,0.000418,0.000467,0.000995,4
MTG_post_R,MTG_post,Middle_Temporal_Gyrus_posterior_R,R,Temp,R_Temp_MTG_post,3,low,10040,0.00049,0.001071,0.001422,0.000807,4
MTG_tempocc_L,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_L,L,Temp,L_Temp_MTG_tempocc,2,high,6824,,,,0.000567,1
MTG_tempocc_L,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_L,L,Temp,L_Temp_MTG_tempocc,2,low,6824,,,,0.002178,1
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,1,high,9208,,0.000697,0.000919,0.000297,3
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,1,low,9208,,0.002172,0.001354,0.001133,3
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,3,high,9208,0.001202,0.000516,0.000703,0.000761,4
MTG_tempocc_R,MTG_tempocc,Middle_Temporal_Gyrus_temporooccipital_R,R,Temp,R_Temp_MTG_tempocc,3,low,9208,0.000859,0.000831,0.001137,0.00061,4
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,2,high,13624,,,,0.000429,1
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,2,low,13624,,,,0.001739,1
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,4,high,13624,,0.000419,,0.00027,2
OFC_L,OFC,Frontal_Orbital_Cortex_L,L,Fr,L_Fr_OFC,4,low,13624,,0.000587,,0.001119,2
OFC_R,OFC,Frontal_Orbital_Cortex_R,R,Fr,R_Fr_OFC,3,high,11560,,0.000363,,0.000575,2
