Region,Mean,Max,LR,Lobe,Image
BA44_R,1.664311,2.824052,R,Fr,run-01_IC-06_Russian_Unlearnable_1.5
Cen_Op_L,2.067237,3.719126,L,Fr,run-01_IC-06_Russian_Unlearnable_1.5
CgG_ant_R,1.655823,3.775425,R,Fr,run-01_IC-06_Russian_Unlearnable_1.5
FL_Med_GM_R,1.519107,2.964761,R,Fr,run-01_IC-06_Russian_Unlearnable_1.5
HG_L,3.298705,4.064904,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
HG_R,2.694165,3.697767,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
Ins_L,1.842218,3.902925,L,Ins,run-01_IC-06_Russian_Unlearnable_1.5
Ins_R,1.503977,3.133977,R,Ins,run-01_IC-06_Russian_Unlearnable_1.5
MTG_ant_L,2.271881,3.438154,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
MTG_ant_R,2.358733,3.066863,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
MTG_post_L,2.578522,3.963486,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
MTG_post_R,2.978895,4.230133,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
MTG_tempocc_L,1.755383,3.515102,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
MTG_tempocc_R,2.104215,4.336857,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
PL_Op_L,2.504055,3.400054,L,Par,run-01_IC-06_Russian_Unlearnable_1.5
PP_L,2.659784,3.971925,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
PP_R,1.980434,3.286591,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
PT_L,2.987462,3.987453,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
PT_R,2.419273,3.561858,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
SMG_post_L,1.584358,3.407559,L,Par,run-01_IC-06_Russian_Unlearnable_1.5
STG_ant_L,2.543947,3.042576,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
STG_ant_R,2.615366,3.350474,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
STG_post_L,3.031934,4.006447,L,Temp,run-01_IC-06_Russian_Unlearnable_1.5
STG_post_R,3.085674,3.933335,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
TL_FuG_ant_R,1.651486,1.651486,R,Temp,run-01_IC-06_Russian_Unlearnable_1.5
